to.name,to.address_line1,to.address_line2,to.address_city,to.address_state,to.address_zip,business_name,deserves_line,headline_font,qr_image_url,old_shot_url,new_shot_url,slug,qr_code,qr_target
Divine Design Landscaping,,,Phoenix,AZ,,Divine Design Landscaping,deserves a better,62,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0001,https://buildlocal.agency/m/divine-design-landscaping-old.jpg,https://buildlocal.agency/m/divine-design-landscaping-new.jpg,divine-design-landscaping,az0001,https://buildlocal.agency/q/az0001
Ground Zero Landscape,,,Phoenix,AZ,,Ground Zero Landscape,deserves a better,73,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0002,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/ground-zero-landscape-new.jpg,ground-zero-landscape,az0002,https://buildlocal.agency/q/az0002
AMS Landscaping,,,Phoenix,AZ,,AMS Landscaping,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0003,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/ams-landscaping-new.jpg,ams-landscaping,az0003,https://buildlocal.agency/q/az0003
Mountainscapers Landscaping,,,Phoenix,AZ,,Mountainscapers Landscaping,deserves a better,57,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0004,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/mountainscapers-landscaping-new.jpg,mountainscapers-landscaping,az0004,https://buildlocal.agency/q/az0004
Diamond Stone & Synthetic Grass,,,Phoenix,AZ,,Diamond Stone & Synthetic Grass,deserves a better,50,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0005,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/diamond-stone-and-synthetic-grass-new.jpg,diamond-stone-and-synthetic-grass,az0005,https://buildlocal.agency/q/az0005
Diamond Cut Landscaping,,,Phoenix,AZ,,Diamond Cut Landscaping,deserves a better,67,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0006,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/diamond-cut-landscaping-new.jpg,diamond-cut-landscaping,az0006,https://buildlocal.agency/q/az0006
Hawkeye Landscaping Inc,,,Phoenix,AZ,,Hawkeye Landscaping,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0007,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/hawkeye-landscaping-inc-new.jpg,hawkeye-landscaping-inc,az0007,https://buildlocal.agency/q/az0007
Landscaping Express LLC,,,Phoenix,AZ,,Landscaping Express,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0008,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/landscaping-express-llc-new.jpg,landscaping-express-llc,az0008,https://buildlocal.agency/q/az0008
Lone Star Landscaping,,,Phoenix,AZ,,Lone Star Landscaping,deserves a better,73,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0009,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/lone-star-landscaping-new.jpg,lone-star-landscaping,az0009,https://buildlocal.agency/q/az0009
Phoenix Pavers and Turf,,,Phoenix,AZ,,Phoenix Pavers and Turf,deserves a better,67,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0010,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/phoenix-pavers-and-turf-new.jpg,phoenix-pavers-and-turf,az0010,https://buildlocal.agency/q/az0010
Arizona turf,,,Phoenix,AZ,,Arizona turf,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0011,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/arizona-turf-new.jpg,arizona-turf,az0011,https://buildlocal.agency/q/az0011
Sal’s Landscape Construction,,,Phoenix,AZ,,Sal’s Landscape Construction,deserves a better,55,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0012,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/sal-s-landscape-construction-new.jpg,sal-s-landscape-construction,az0012,https://buildlocal.agency/q/az0012
MasterAZscapes LLC,,,Phoenix,AZ,,MasterAZscapes,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0013,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/masterazscapes-llc-new.jpg,masterazscapes-llc,az0013,https://buildlocal.agency/q/az0013
Arizona’s Landscaping Authority LLC,,,Phoenix,AZ,,Arizona’s Landscaping Authority,deserves a better,50,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0014,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/arizona-s-landscaping-authority-llc-new.jpg,arizona-s-landscaping-authority-llc,az0014,https://buildlocal.agency/q/az0014
Outdoor Xscapes,,,Phoenix,AZ,,Outdoor Xscapes,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0015,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/outdoor-xscapes-new.jpg,outdoor-xscapes,az0015,https://buildlocal.agency/q/az0015
BIG BOSS Landscape,,,Phoenix,AZ,,BIG BOSS Landscape,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0016,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/big-boss-landscape-new.jpg,big-boss-landscape,az0016,https://buildlocal.agency/q/az0016
"Mariposa Landscape Arizona, Inc. | Phoenix, AZ",,,Phoenix,AZ,,Mariposa Landscape,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0017,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/mariposa-landscape-arizona-inc-phoenix-az-new.jpg,mariposa-landscape-arizona-inc-phoenix-az,az0017,https://buildlocal.agency/q/az0017
Descendants Landscaping,,,Phoenix,AZ,,Descendants Landscaping,deserves a better,67,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0018,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/descendants-landscaping-new.jpg,descendants-landscaping,az0018,https://buildlocal.agency/q/az0018
"Landscape Design Phoenix, Landscaping Architect | Unwind Landscapes",,,Phoenix,AZ,,Landscape Design Phoenix,deserves a better,64,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0019,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/landscape-design-phoenix-landscaping-architect-unwind-landsc-new.jpg,landscape-design-phoenix-landscaping-architect-unwind-landsc,az0019,https://buildlocal.agency/q/az0019
Straight Line Landscape,,,Phoenix,AZ,,Straight Line Landscape,deserves a better,67,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0020,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/straight-line-landscape-new.jpg,straight-line-landscape,az0020,https://buildlocal.agency/q/az0020
"Goodman's Landscape Maintenance, LLC",,,Phoenix,AZ,,Goodman's Landscape,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0021,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/goodman-s-landscape-maintenance-llc-new.jpg,goodman-s-landscape-maintenance-llc,az0021,https://buildlocal.agency/q/az0021
Az New Leaf Landscaping,,,Phoenix,AZ,,Az New Leaf Landscaping,deserves a better,67,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0022,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/az-new-leaf-landscaping-new.jpg,az-new-leaf-landscaping,az0022,https://buildlocal.agency/q/az0022
