name,address_line1,address_line2,address_city,address_state,address_zip,business_name,deserves_line,headline_font,qr_image_url,old_shot_url,new_shot_url,metadata_slug,metadata_qr_code,metadata_trade,metadata_mailable
Ground Zero Landscape,16615 N 19th St,,Phoenix,AZ,85022,Ground Zero Landscape,deserves a better,73,https://demo.buildlocal.agency/m/qr/az0002.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/ground-zero-landscape-new.jpg,ground-zero-landscape,az0002,landscaping,yes
AMS Landscaping,11035 N 23rd Dr #9,,Phoenix,AZ,85029,AMS Landscaping,deserves a better,78,https://demo.buildlocal.agency/m/qr/az0003.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/ams-landscaping-new.jpg,ams-landscaping,az0003,landscaping,yes
Mountainscapers Landscaping,1545 E Yucca St B,,Phoenix,AZ,85020,Mountainscapers Landscaping,deserves a better,57,https://demo.buildlocal.agency/m/qr/az0004.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/mountainscapers-landscaping-new.jpg,mountainscapers-landscaping,az0004,landscaping,yes
Diamond Stone & Synthetic Grass,1641 W Palmer Dr,,Phoenix,AZ,85021,Diamond Stone & Synthetic Grass,deserves a better,50,https://demo.buildlocal.agency/m/qr/az0005.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/diamond-stone-and-synthetic-grass-new.jpg,diamond-stone-and-synthetic-grass,az0005,landscaping,yes
Diamond Cut Landscaping,1507 W Hatcher Rd,,Phoenix,AZ,85021,Diamond Cut Landscaping,deserves a better,67,https://demo.buildlocal.agency/m/qr/az0006.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/diamond-cut-landscaping-new.jpg,diamond-cut-landscaping,az0006,landscaping,yes
Hawkeye Landscaping Inc,24401 N 15th Ave,,Phoenix,AZ,85085,Hawkeye Landscaping,deserves a better,78,https://demo.buildlocal.agency/m/qr/az0007.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/hawkeye-landscaping-inc-new.jpg,hawkeye-landscaping-inc,az0007,landscaping,yes
Landscaping Express LLC,2317 W Danbury Dr,,Phoenix,AZ,85032,Landscaping Express,deserves a better,78,https://demo.buildlocal.agency/m/qr/az0008.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/landscaping-express-llc-new.jpg,landscaping-express-llc,az0008,landscaping,yes
Lone Star Landscaping,19305 N 28th St,,Phoenix,AZ,85050,Lone Star Landscaping,deserves a better,73,https://demo.buildlocal.agency/m/qr/az0009.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/lone-star-landscaping-new.jpg,lone-star-landscaping,az0009,landscaping,yes
Phoenix Pavers and Turf,2850 W Belmont Ave,,Phoenix,AZ,85051,Phoenix Pavers and Turf,deserves a better,67,https://demo.buildlocal.agency/m/qr/az0010.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/phoenix-pavers-and-turf-new.jpg,phoenix-pavers-and-turf,az0010,landscaping,yes
Arizona turf,"Online Appointment / Onsite Service, 15047 North 23rd Pl",,Phoenix,AZ,85022,Arizona turf,deserves a better,78,https://demo.buildlocal.agency/m/qr/az0011.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/arizona-turf-new.jpg,arizona-turf,az0011,landscaping,yes
