to.name,to.address_line1,to.address_line2,to.address_city,to.address_state,to.address_zip,front_image,back_image,qr_target,metadata_slug,metadata_qr_code,metadata_trade,metadata_mailable
Ground Zero Landscape,16615 N 19th St,,Phoenix,AZ,85022,https://demo.buildlocal.agency/m/flyers/ground-zero-landscape-front.png,https://demo.buildlocal.agency/m/flyers/ground-zero-landscape-back.png,https://demo.buildlocal.agency/q/az0002,ground-zero-landscape,az0002,landscaping,yes
AMS Landscaping,11035 N 23rd Dr #9,,Phoenix,AZ,85029,https://demo.buildlocal.agency/m/flyers/ams-landscaping-front.png,https://demo.buildlocal.agency/m/flyers/ams-landscaping-back.png,https://demo.buildlocal.agency/q/az0003,ams-landscaping,az0003,landscaping,yes
Mountainscapers Landscaping,1545 E Yucca St B,,Phoenix,AZ,85020,https://demo.buildlocal.agency/m/flyers/mountainscapers-landscaping-front.png,https://demo.buildlocal.agency/m/flyers/mountainscapers-landscaping-back.png,https://demo.buildlocal.agency/q/az0004,mountainscapers-landscaping,az0004,landscaping,yes
Diamond Stone & Synthetic Grass,1641 W Palmer Dr,,Phoenix,AZ,85021,https://demo.buildlocal.agency/m/flyers/diamond-stone-and-synthetic-grass-front.png,https://demo.buildlocal.agency/m/flyers/diamond-stone-and-synthetic-grass-back.png,https://demo.buildlocal.agency/q/az0005,diamond-stone-and-synthetic-grass,az0005,landscaping,yes
Diamond Cut Landscaping,1507 W Hatcher Rd,,Phoenix,AZ,85021,https://demo.buildlocal.agency/m/flyers/diamond-cut-landscaping-front.png,https://demo.buildlocal.agency/m/flyers/diamond-cut-landscaping-back.png,https://demo.buildlocal.agency/q/az0006,diamond-cut-landscaping,az0006,landscaping,yes
Hawkeye Landscaping Inc,24401 N 15th Ave,,Phoenix,AZ,85085,https://demo.buildlocal.agency/m/flyers/hawkeye-landscaping-inc-front.png,https://demo.buildlocal.agency/m/flyers/hawkeye-landscaping-inc-back.png,https://demo.buildlocal.agency/q/az0007,hawkeye-landscaping-inc,az0007,landscaping,yes
Landscaping Express LLC,2317 W Danbury Dr,,Phoenix,AZ,85032,https://demo.buildlocal.agency/m/flyers/landscaping-express-llc-front.png,https://demo.buildlocal.agency/m/flyers/landscaping-express-llc-back.png,https://demo.buildlocal.agency/q/az0008,landscaping-express-llc,az0008,landscaping,yes
Lone Star Landscaping,19305 N 28th St,,Phoenix,AZ,85050,https://demo.buildlocal.agency/m/flyers/lone-star-landscaping-front.png,https://demo.buildlocal.agency/m/flyers/lone-star-landscaping-back.png,https://demo.buildlocal.agency/q/az0009,lone-star-landscaping,az0009,landscaping,yes
Phoenix Pavers and Turf,2850 W Belmont Ave,,Phoenix,AZ,85051,https://demo.buildlocal.agency/m/flyers/phoenix-pavers-and-turf-front.png,https://demo.buildlocal.agency/m/flyers/phoenix-pavers-and-turf-back.png,https://demo.buildlocal.agency/q/az0010,phoenix-pavers-and-turf,az0010,landscaping,yes
Arizona turf,"Online Appointment / Onsite Service, 15047 North 23rd Pl",,Phoenix,AZ,85022,https://demo.buildlocal.agency/m/flyers/arizona-turf-front.png,https://demo.buildlocal.agency/m/flyers/arizona-turf-back.png,https://demo.buildlocal.agency/q/az0011,arizona-turf,az0011,landscaping,yes
MasterAZscapes LLC,1635 W Park View Ln # 2,,Phoenix,AZ,85085,https://demo.buildlocal.agency/m/flyers/masterazscapes-llc-front.png,https://demo.buildlocal.agency/m/flyers/masterazscapes-llc-back.png,https://demo.buildlocal.agency/q/az0013,masterazscapes-llc,az0013,landscaping,yes
Arizona’s Landscaping Authority LLC,5021 N 20th St #45395,,Phoenix,AZ,85016,https://demo.buildlocal.agency/m/flyers/arizona-s-landscaping-authority-llc-front.png,https://demo.buildlocal.agency/m/flyers/arizona-s-landscaping-authority-llc-back.png,https://demo.buildlocal.agency/q/az0014,arizona-s-landscaping-authority-llc,az0014,landscaping,yes
Outdoor Xscapes,2149 W Mountain View Rd,,Phoenix,AZ,85021,https://demo.buildlocal.agency/m/flyers/outdoor-xscapes-front.png,https://demo.buildlocal.agency/m/flyers/outdoor-xscapes-back.png,https://demo.buildlocal.agency/q/az0015,outdoor-xscapes,az0015,landscaping,yes
BIG BOSS Landscape,E Burgess Ln,,Phoenix,AZ,85042,https://demo.buildlocal.agency/m/flyers/big-boss-landscape-front.png,https://demo.buildlocal.agency/m/flyers/big-boss-landscape-back.png,https://demo.buildlocal.agency/q/az0016,big-boss-landscape,az0016,landscaping,yes
"Mariposa Landscape Arizona, Inc. | Phoen",3010 S 46th St.,,Phoenix,AZ,85040,https://demo.buildlocal.agency/m/flyers/mariposa-landscape-arizona-inc-phoenix-az-front.png,https://demo.buildlocal.agency/m/flyers/mariposa-landscape-arizona-inc-phoenix-az-back.png,https://demo.buildlocal.agency/q/az0017,mariposa-landscape-arizona-inc-phoenix-az,az0017,landscaping,yes
"Landscape Design Phoenix, Landscaping Ar",2740 E Rose Garden Ln Suite 6,,Phoenix,AZ,85050,https://demo.buildlocal.agency/m/flyers/landscape-design-phoenix-landscaping-architect-unwind-landsc-front.png,https://demo.buildlocal.agency/m/flyers/landscape-design-phoenix-landscaping-architect-unwind-landsc-back.png,https://demo.buildlocal.agency/q/az0019,landscape-design-phoenix-landscaping-architect-unwind-landsc,az0019,landscaping,yes
Straight Line Landscape,1915 W Adobe Dr D,,Phoenix,AZ,85027,https://demo.buildlocal.agency/m/flyers/straight-line-landscape-front.png,https://demo.buildlocal.agency/m/flyers/straight-line-landscape-back.png,https://demo.buildlocal.agency/q/az0020,straight-line-landscape,az0020,landscaping,yes
Goodman's Landscape,2210 W Desert Cove Ave,,Phoenix,AZ,85029,https://demo.buildlocal.agency/m/flyers/goodman-s-landscape-maintenance-llc-front.png,https://demo.buildlocal.agency/m/flyers/goodman-s-landscape-maintenance-llc-back.png,https://demo.buildlocal.agency/q/az0021,goodman-s-landscape-maintenance-llc,az0021,landscaping,yes
Az New Leaf Landscaping,3230 W Quail Ave,,Phoenix,AZ,85027,https://demo.buildlocal.agency/m/flyers/az-new-leaf-landscaping-front.png,https://demo.buildlocal.agency/m/flyers/az-new-leaf-landscaping-back.png,https://demo.buildlocal.agency/q/az0022,az-new-leaf-landscaping,az0022,landscaping,yes
Enchanted Garden Landscape,21602 N 21st Ave,,Phoenix,AZ,85027,https://demo.buildlocal.agency/m/flyers/enchanted-garden-landscape-front.png,https://demo.buildlocal.agency/m/flyers/enchanted-garden-landscape-back.png,https://demo.buildlocal.agency/q/az0025,enchanted-garden-landscape,az0025,landscaping,yes
"Phoenix Landscapers, Landscaping Design ",3216 E Sierra St,,Phoenix,AZ,85028,https://demo.buildlocal.agency/m/flyers/phoenix-landscapers-landscaping-design-and-tree-services-front.png,https://demo.buildlocal.agency/m/flyers/phoenix-landscapers-landscaping-design-and-tree-services-back.png,https://demo.buildlocal.agency/q/az0027,phoenix-landscapers-landscaping-design-and-tree-services,az0027,landscaping,yes
